project_member_id,employee_id,project_id,project_name,role,pm_qualitative_feedback,peer_qualitative_feedback,start_date,end_date
PM0112,EMP126,PRJ_2021_08,고객 포털 개발,디자이너,타 팀과의 협업에서 어려움 노출. 개선 방안 논의 필요.,협력적이고 업무를 수행. 커뮤니케이션 원활함.,2021-10-16,2022-01-14
PM0113,EMP131,PRJ_2021_08,고객 포털 개발,PM,"프로젝트 목표 106% 달성. 일정을 앞당겨 완수했으며, 팀원들의 신뢰가 매우 높음.",프로젝트에 책임감 있게 참여. 원활한 협업.,2021-10-16,2022-01-14
PM0114,EMP056,PRJ_2021_08,고객 포털 개발,아키텍트,맡은 역할을 성실히 수행. 안정적인 업무 처리. 보다 주도적인 역할 기대.,기본적인 협업은 수행하나 커뮤니케이션이 부족. 개선 여지 있음.,2021-10-16,2022-01-14
PM0115,EMP021,PRJ_2021_08,고객 포털 개발,PL,"프로젝트 목표 121% 달성. 일정을 앞당겨 완수했으며, 이해관계자 만족도가 매우 높음.",어려울 때 적극적으로 도와주며 신뢰할 수 있는 동료. 커뮤니케이션이 탁월함.,2021-10-16,2022-01-14
PM0116,EMP177,PRJ_2021_08,고객 포털 개발,개발자,맡은 역할을 성실히 수행. 주어진 작업 완수. 도전적 목표 설정 권장.,프로젝트에 전문성 발휘. 안정적인 성과.,2021-10-16,2022-01-14
PM0117,EMP029,PRJ_2021_09,고객 데이터 분석 플랫폼,PL,"프로젝트 목표 113% 달성. 예산 대비 효율적으로 완수했으며, 이해관계자 만족도가 매우 높음.",업무는 처리하지만 주도적 참여 아쉬움. 소통 개선 필요.,2021-06-06,2022-03-03
PM0118,EMP088,PRJ_2021_09,고객 데이터 분석 플랫폼,개발자,뛰어난 커뮤니케이션으로 프로젝트에 기여. 핵심 인재로 평가됨.,항상 동료를 먼저 생각하고 배울 점이 많은 동료. 전문성도 뛰어남.,2021-06-06,2022-03-03
PM0119,EMP114,PRJ_2021_09,고객 데이터 분석 플랫폼,개발자,복잡한 기술 이슈를 체계적으로 해결. 팀의 롤모델.,팀 분위기를 밝게 만들고 함께 일하기 좋은 동료. 전문성도 뛰어남.,2021-06-06,2022-03-03
PM0120,EMP189,PRJ_2021_09,고객 데이터 분석 플랫폼,QA,"프로젝트 목표 115% 달성. 예산 대비 효율적으로 완수했으며, 이해관계자 만족도가 매우 높음.",항상 동료를 먼저 생각하고 배울 점이 많은 동료. 전문성도 뛰어남.,2021-06-06,2022-03-03
PM0121,EMP049,PRJ_2021_09,고객 데이터 분석 플랫폼,기획자,기술적 난이도 해결에서 어려움 노출. 개선 방안 논의 필요.,프로젝트에 책임감 있게 참여. 특별한 이슈 없음.,2021-06-06,2022-03-03
PM0122,EMP021,PRJ_2021_09,고객 데이터 분석 플랫폼,디자이너,맡은 역할을 성실히 수행. 주어진 작업 완수. 도전적 목표 설정 권장.,성실하며 업무를 수행. 팀워크 양호함.,2021-06-06,2022-03-03
PM0123,DIV003,PRJ_2021_09,고객 데이터 분석 플랫폼,PM,"프로젝트 목표 125% 달성. 일정을 앞당겨 완수했으며, 팀원들의 신뢰가 매우 높음.",프로젝트 진행 중 유연한 협업 태도로 팀워크 향상에 기여. 신뢰도 높음.,2021-06-06,2022-03-03
PM0124,EMP149,PRJ_2021_10,내부 업무 시스템,PL,뛰어난 커뮤니케이션으로 프로젝트에 기여. 지속적 성장 예상됨.,프로젝트 진행 중 유연한 협업 태도로 팀워크 향상에 기여. 신뢰도 높음.,2021-01-11,2021-12-07
PM0125,EMP153,PRJ_2021_10,내부 업무 시스템,개발자,맡은 역할을 성실히 수행. 안정적인 업무 처리. 도전적 목표 설정 권장.,프로젝트 진행 중 적극적인 소통로 팀워크 향상에 기여. 신뢰도 높음.,2021-01-11,2021-12-07
PM0126,EMP155,PRJ_2021_10,내부 업무 시스템,개발자,맡은 역할을 성실히 수행. 기본 목표 달성. 역량 확장 필요.,성실하며 업무를 수행. 맡은 일 잘 처리함.,2021-01-11,2021-12-07
PM0127,EMP015,PRJ_2021_10,내부 업무 시스템,QA,전반적으로 만족스러운 기여. 기술 역량 강화 시 더 큰 성과 기대.,맡은 역할은 하나 주도적 참여 아쉬움. 개선 여지 있음.,2021-01-11,2021-12-07
PM0128,EMP183,PRJ_2021_10,내부 업무 시스템,기획자,타 팀과의 협업에서 어려움 노출. 개선 방안 논의 필요.,책임감이 강하고 팀원들에게 지식을 공유해줌. 팀의 기둥.,2021-01-11,2021-12-07
PM0129,TL008,PRJ_2021_10,내부 업무 시스템,디자이너,일정대로 업무 완수. 책임감 있는 태도. 다음 프로젝트에서 리더십 발휘 필요.,성실하며 업무를 수행. 맡은 일 잘 처리함.,2021-01-11,2021-12-07
PM0130,EMP006,PRJ_2021_10,내부 업무 시스템,PM,"기본 작업은 완수했으나, 일정 준수에 어려움. 멘토링 지원 필요.",협력적이고 업무를 수행. 맡은 일 잘 처리함.,2021-01-11,2021-12-07
PM0131,EMP188,PRJ_2021_10,내부 업무 시스템,아키텍트,맡은 역할을 성실히 수행. 주어진 작업 완수. 보다 주도적인 역할 기대.,팀 분위기를 밝게 만들고 신뢰할 수 있는 동료. 문제 해결 능력 우수.,2021-01-11,2021-12-07
PM0132,EMP083,PRJ_2021_11,고객 포털 개발,PL,요구사항 이해에서 어려움 노출. 개선 방안 논의 필요.,기본적인 협업은 수행하나 적극성 필요. 더 적극적인 참여 기대.,2021-05-04,2021-09-01
PM0133,EMP135,PRJ_2021_11,고객 포털 개발,개발자,"기본 작업은 완수했으나, 일정 준수에 어려움. 역량 강화 계획 수립.",프로젝트 진행 중 적극적인 소통로 팀워크 향상에 기여. 신뢰도 높음.,2021-05-04,2021-09-01
PM0134,EMP038,PRJ_2021_11,고객 포털 개발,개발자,전반적으로 만족스러운 기여. 커뮤니케이션 개선 시 더 큰 성과 기대.,책임감이 강하고 팀원들에게 지식을 공유해줌. 없어서는 안 될 동료.,2021-05-04,2021-09-01
PM0135,EMP028,PRJ_2021_11,고객 포털 개발,QA,맡은 역할을 성실히 수행. 주어진 작업 완수. 보다 주도적인 역할 기대.,책임감이 강하고 후배들을 잘 가르침해줌. 없어서는 안 될 동료.,2021-05-04,2021-09-01
PM0136,EMP094,PRJ_2021_11,고객 포털 개발,기획자,요구사항 변경를 신속하게 해결. 팀의 롤모델.,책임감이 강하고 팀원들에게 지식을 공유해줌. 팀의 기둥.,2021-05-04,2021-09-01
PM0137,EMP182,PRJ_2021_11,고객 포털 개발,디자이너,전반적으로 만족스러운 기여. 기술 역량 강화 시 더 큰 성과 기대.,책임감 있게 업무를 수행. 커뮤니케이션 원활함.,2021-05-04,2021-09-01
PM0138,EMP074,PRJ_2021_12,클라우드 마이그레이션,PL,기술적 난이도 해결에서 어려움 노출. 개선 방안 논의 필요.,프로젝트 진행 중 빠른 피드백로 팀워크 향상에 기여. 함께 일하고 싶은 동료.,2021-09-10,2022-02-07
PM0139,EMP190,PRJ_2021_12,클라우드 마이그레이션,개발자,맡은 역할을 성실히 수행. 주어진 작업 완수. 역량 확장 필요.,열정적으로 일하며 팀원들에게 지식을 공유해줌. 팀의 기둥.,2021-09-10,2022-02-07
PM0140,EMP183,PRJ_2021_12,클라우드 마이그레이션,개발자,요구사항 이해에서 어려움 노출. 개선 방안 논의 필요.,필요한 지원 제공. 동료로서 만족.,2021-09-10,2022-02-07
PM0141,EMP022,PRJ_2021_12,클라우드 마이그레이션,QA,전반적으로 만족스러운 기여. 커뮤니케이션 개선 시 더 큰 성과 기대.,책임감 있게 업무를 수행. 맡은 일 잘 처리함.,2021-09-10,2022-02-07
PM0142,EMP030,PRJ_2021_12,클라우드 마이그레이션,기획자,요구사항 이해에서 어려움 노출. 개선 방안 논의 필요.,프로젝트에 책임감 있게 참여. 원활한 협업.,2021-09-10,2022-02-07
PM0143,EMP131,PRJ_2021_12,클라우드 마이그레이션,디자이너,타 팀과의 협업에서 어려움 노출. 개선 방안 논의 필요.,협업에 긍정적. 함께 일하기 좋음.,2021-09-10,2022-02-07
PM0144,EMP129,PRJ_2022_01,레거시 시스템 개선,PL,"프로젝트 목표 111% 달성. 예산 대비 효율적으로 완수했으며, 팀원들의 신뢰가 매우 높음.",어려울 때 적극적으로 도와주며 함께 일하기 좋은 동료. 문제 해결 능력 우수.,2022-05-05,2022-09-02
PM0145,DIV003,PRJ_2022_01,레거시 시스템 개선,개발자,맡은 역할을 성실히 수행. 주어진 작업 완수. 도전적 목표 설정 권장.,책임감이 강하고 팀원들에게 지식을 공유해줌. 핵심 멤버.,2022-05-05,2022-09-02
PM0146,EMP169,PRJ_2022_01,레거시 시스템 개선,개발자,"프로젝트 목표 114% 달성. 품질 기준을 초과하여 완수했으며, 기술적 완성도가 매우 높음.",맡은 역할은 하나 적극성 필요. 소통 개선 필요.,2022-05-05,2022-09-02
PM0147,EMP096,PRJ_2022_01,레거시 시스템 개선,QA,전반적으로 만족스러운 기여. 커뮤니케이션 개선 시 더 큰 성과 기대.,프로젝트에 성실히 기여. 원활한 협업.,2022-05-05,2022-09-02
PM0148,EMP101,PRJ_2022_01,레거시 시스템 개선,기획자,"기본 작업은 완수했으나, 커뮤니케이션 개선 필요. 멘토링 지원 필요.",기본적인 협업은 수행하나 주도적 참여 아쉬움. 더 적극적인 참여 기대.,2022-05-05,2022-09-02
PM0149,EMP170,PRJ_2022_01,레거시 시스템 개선,디자이너,전반적으로 만족스러운 기여. 기술 역량 강화 시 더 큰 성과 기대.,기술적으로 뛰어나며 후배들을 잘 가르침해줌. 핵심 멤버.,2022-05-05,2022-09-02
PM0150,EMP002,PRJ_2022_01,레거시 시스템 개선,PM,"기본 작업은 완수했으나, 일정 준수에 어려움. 멘토링 지원 필요.",업무는 처리하지만 적극성 필요. 소통 개선 필요.,2022-05-05,2022-09-02
PM0151,EMP004,PRJ_2022_01,레거시 시스템 개선,아키텍트,전반적으로 만족스러운 기여. 커뮤니케이션 개선 시 더 큰 성과 기대.,프로젝트에 전문성 발휘. 원활한 협업.,2022-05-05,2022-09-02
PM0152,EMP103,PRJ_2022_02,데이터 웨어하우스 구축,PL,"기본 작업은 완수했으나, 커뮤니케이션 개선 필요. 역량 강화 계획 수립.",성실하며 업무를 수행. 커뮤니케이션 원활함.,2022-07-02,2022-11-29
PM0153,EMP026,PRJ_2022_02,데이터 웨어하우스 구축,개발자,"기본 작업은 완수했으나, 일정 준수에 어려움. 멘토링 지원 필요.",팀 분위기를 밝게 만들고 신뢰할 수 있는 동료. 전문성도 뛰어남.,2022-07-02,2022-11-29
PM0154,EMP062,PRJ_2022_02,데이터 웨어하우스 구축,개발자,전반적으로 만족스러운 기여. 기술 역량 강화 시 더 큰 성과 기대.,어려울 때 적극적으로 도와주며 신뢰할 수 있는 동료. 커뮤니케이션이 탁월함.,2022-07-02,2022-11-29
PM0155,EMP069,PRJ_2022_02,데이터 웨어하우스 구축,QA,기술적 난이도 해결에서 어려움 노출. 개선 방안 논의 필요.,항상 동료를 먼저 생각하고 신뢰할 수 있는 동료. 커뮤니케이션이 탁월함.,2022-07-02,2022-11-29
PM0156,EMP090,PRJ_2022_02,데이터 웨어하우스 구축,기획자,"프로젝트 목표 110% 달성. 예산 대비 효율적으로 완수했으며, 이해관계자 만족도가 매우 높음.",어려울 때 적극적으로 도와주며 배울 점이 많은 동료. 커뮤니케이션이 탁월함.,2022-07-02,2022-11-29
PM0157,EMP041,PRJ_2022_03,인증 시스템 개선,PL,"기본 작업은 완수했으나, 커뮤니케이션 개선 필요. 역량 강화 계획 수립.",필요한 지원 제공. 동료로서 만족.,2022-06-01,2022-10-29
PM0158,TL001,PRJ_2022_03,인증 시스템 개선,개발자,전반적으로 만족스러운 기여. 일정 관리 능력 향상 시 더 큰 성과 기대.,업무는 처리하지만 주도적 참여 아쉬움. 개선 여지 있음.,2022-06-01,2022-10-29
PM0159,EMP101,PRJ_2022_03,인증 시스템 개선,개발자,일정대로 업무 완수. 팀과의 협업 양호. 다음 프로젝트에서 리더십 발휘 필요.,프로젝트에 전문성 발휘. 안정적인 성과.,2022-06-01,2022-10-29
PM0160,EMP167,PRJ_2022_03,인증 시스템 개선,QA,"프로젝트 목표 129% 달성. 예산 대비 효율적으로 완수했으며, 이해관계자 만족도가 매우 높음.",열정적으로 일하며 팀원들에게 지식을 공유해줌. 없어서는 안 될 동료.,2022-06-01,2022-10-29
PM0161,EMP021,PRJ_2022_03,인증 시스템 개선,기획자,요구사항 변경를 창의적으로 해결. 기술 리더 역할 수행.,열정적으로 일하며 어려운 문제도 함께 고민해줌. 핵심 멤버.,2022-06-01,2022-10-29
PM0162,EMP060,PRJ_2022_03,인증 시스템 개선,디자이너,전반적으로 만족스러운 기여. 일정 관리 능력 향상 시 더 큰 성과 기대.,협업에 긍정적. 동료로서 만족.,2022-06-01,2022-10-29
PM0163,EMP058,PRJ_2022_03,인증 시스템 개선,PM,요구사항 이해에서 어려움 노출. 개선 방안 논의 필요.,프로젝트 진행 중 적극적인 소통로 팀워크 향상에 기여. 팀 성과에 큰 기여.,2022-06-01,2022-10-29
PM0164,EMP113,PRJ_2022_03,인증 시스템 개선,아키텍트,큰 이슈 없이 업무 완수. 기술적 역량 발휘. 다음 프로젝트에서 전문성 심화 요구.,협업에 긍정적. 동료로서 만족.,2022-06-01,2022-10-29
PM0165,EMP151,PRJ_2022_03,인증 시스템 개선,PL,맡은 역할을 성실히 수행. 주어진 작업 완수. 역량 확장 필요.,프로젝트 진행 중 적극적인 소통로 팀워크 향상에 기여. 신뢰도 높음.,2022-06-01,2022-10-29
PM0166,EMP148,PRJ_2022_04,HR 챗봇 개발,PL,탁월한 문제 해결 능력으로 프로젝트에 기여. 지속적 성장 예상됨.,프로젝트 진행 중 건설적인 의견 제시로 팀워크 향상에 기여. 신뢰도 높음.,2022-05-04,2023-01-29
PM0167,EMP125,PRJ_2022_04,HR 챗봇 개발,개발자,맡은 역할을 성실히 수행. 안정적인 업무 처리. 역량 확장 필요.,항상 동료를 먼저 생각하고 함께 일하기 좋은 동료. 문제 해결 능력 우수.,2022-05-04,2023-01-29
PM0168,EMP070,PRJ_2022_04,HR 챗봇 개발,개발자,"프로젝트 목표 128% 달성. 일정을 앞당겨 완수했으며, 기술적 완성도가 매우 높음.",적극적으로 참여. 믿고 맡길 수 있음.,2022-05-04,2023-01-29
PM0169,EMP130,PRJ_2022_04,HR 챗봇 개발,QA,요구사항 이해에서 어려움 노출. 개선 방안 논의 필요.,프로젝트 진행 중 건설적인 의견 제시로 팀워크 향상에 기여. 팀 성과에 큰 기여.,2022-05-04,2023-01-29
PM0170,EMP086,PRJ_2022_04,HR 챗봇 개발,기획자,타 팀과의 협업에서 어려움 노출. 개선 방안 논의 필요.,프로젝트 진행 중 적극적인 소통로 팀워크 향상에 기여. 함께 일하고 싶은 동료.,2022-05-04,2023-01-29
PM0171,EMP144,PRJ_2022_05,API 게이트웨이 개발,PL,요구사항 이해에서 어려움 노출. 개선 방안 논의 필요.,어려울 때 적극적으로 도와주며 함께 일하기 좋은 동료. 전문성도 뛰어남.,2022-03-11,2022-12-06
PM0172,EMP171,PRJ_2022_05,API 게이트웨이 개발,개발자,"기본 작업은 완수했으나, 품질 기준 미달 부분 존재. 추가 교육 권장.",책임감 있게 업무를 수행. 팀워크 양호함.,2022-03-11,2022-12-06
PM0173,EMP027,PRJ_2022_05,API 게이트웨이 개발,개발자,전반적으로 만족스러운 기여. 일정 관리 능력 향상 시 더 큰 성과 기대.,필요한 지원 제공. 믿고 맡길 수 있음.,2022-03-11,2022-12-06
PM0174,EMP072,PRJ_2022_05,API 게이트웨이 개발,QA,전반적으로 만족스러운 기여. 기술 역량 강화 시 더 큰 성과 기대.,프로젝트에 책임감 있게 참여. 안정적인 성과.,2022-03-11,2022-12-06
PM0175,EMP028,PRJ_2022_05,API 게이트웨이 개발,기획자,전반적으로 만족스러운 기여. 커뮤니케이션 개선 시 더 큰 성과 기대.,적극적으로 참여. 믿고 맡길 수 있음.,2022-03-11,2022-12-06
PM0176,EMP037,PRJ_2022_05,API 게이트웨이 개발,디자이너,전반적으로 만족스러운 기여. 일정 관리 능력 향상 시 더 큰 성과 기대.,열정적으로 일하며 후배들을 잘 가르침해줌. 팀의 기둥.,2022-03-11,2022-12-06
PM0177,EMP046,PRJ_2022_06,CRM 시스템 구축,PL,탁월한 문제 해결 능력으로 프로젝트에 기여. 향후 리더 역할 기대됨.,성실하며 업무를 수행. 커뮤니케이션 원활함.,2022-07-02,2022-10-30
PM0178,EMP147,PRJ_2022_06,CRM 시스템 구축,개발자,일정 지연 리스크를 체계적으로 해결. 기술 리더 역할 수행.,열정적으로 일하며 어려운 문제도 함께 고민해줌. 팀의 기둥.,2022-07-02,2022-10-30
PM0179,EMP171,PRJ_2022_06,CRM 시스템 구축,개발자,일정 지연 리스크를 신속하게 해결. 기술 리더 역할 수행.,협업에 긍정적. 믿고 맡길 수 있음.,2022-07-02,2022-10-30
PM0180,EMP073,PRJ_2022_06,CRM 시스템 구축,QA,뛰어난 커뮤니케이션으로 프로젝트에 기여. 향후 리더 역할 기대됨.,업무는 처리하지만 적극성 필요. 더 적극적인 참여 기대.,2022-07-02,2022-10-30
PM0181,EMP134,PRJ_2022_06,CRM 시스템 구축,기획자,탁월한 문제 해결 능력으로 프로젝트에 기여. 지속적 성장 예상됨.,항상 동료를 먼저 생각하고 신뢰할 수 있는 동료. 전문성도 뛰어남.,2022-07-02,2022-10-30
PM0182,EMP112,PRJ_2022_06,CRM 시스템 구축,디자이너,맡은 역할을 성실히 수행. 안정적인 업무 처리. 역량 확장 필요.,기술적으로 뛰어나며 팀원들에게 지식을 공유해줌. 팀의 기둥.,2022-07-02,2022-10-30
PM0183,EMP166,PRJ_2022_06,CRM 시스템 구축,PM,적극적인 책임감으로 프로젝트에 기여. 핵심 인재로 평가됨.,팀 분위기를 밝게 만들고 배울 점이 많은 동료. 전문성도 뛰어남.,2022-07-02,2022-10-30
PM0184,EMP119,PRJ_2022_07,보안 강화 프로젝트,PL,복잡한 기술 이슈를 체계적으로 해결. 팀의 롤모델.,프로젝트에 성실히 기여. 원활한 협업.,2022-04-19,2023-04-14
PM0185,EMP078,PRJ_2022_07,보안 강화 프로젝트,개발자,맡은 역할을 성실히 수행. 주어진 작업 완수. 보다 주도적인 역할 기대.,프로젝트에 책임감 있게 참여. 특별한 이슈 없음.,2022-04-19,2023-04-14
PM0186,EMP036,PRJ_2022_07,보안 강화 프로젝트,개발자,"기본 작업은 완수했으나, 품질 기준 미달 부분 존재. 멘토링 지원 필요.",어려울 때 적극적으로 도와주며 함께 일하기 좋은 동료. 커뮤니케이션이 탁월함.,2022-04-19,2023-04-14
PM0187,EMP158,PRJ_2022_07,보안 강화 프로젝트,QA,맡은 역할을 성실히 수행. 기본 목표 달성. 역량 확장 필요.,프로젝트 진행 중 빠른 피드백로 팀워크 향상에 기여. 함께 일하고 싶은 동료.,2022-04-19,2023-04-14
PM0188,EMP145,PRJ_2022_07,보안 강화 프로젝트,기획자,전반적으로 만족스러운 기여. 일정 관리 능력 향상 시 더 큰 성과 기대.,어려울 때 적극적으로 도와주며 신뢰할 수 있는 동료. 커뮤니케이션이 탁월함.,2022-04-19,2023-04-14
PM0189,EMP096,PRJ_2022_07,보안 강화 프로젝트,디자이너,일정대로 업무 완수. 책임감 있는 태도. 다음 프로젝트에서 더 큰 역할 기대.,협력적이고 업무를 수행. 커뮤니케이션 원활함.,2022-04-19,2023-04-14
PM0190,EMP110,PRJ_2022_07,보안 강화 프로젝트,PM,요구사항 변경를 신속하게 해결. 기술 리더 역할 수행.,팀 분위기를 밝게 만들고 신뢰할 수 있는 동료. 전문성도 뛰어남.,2022-04-19,2023-04-14
PM0191,EMP042,PRJ_2022_07,보안 강화 프로젝트,아키텍트,기술적 난이도 해결에서 어려움 노출. 개선 방안 논의 필요.,기본적인 협업은 수행하나 커뮤니케이션이 부족. 소통 개선 필요.,2022-04-19,2023-04-14
PM0192,EMP111,PRJ_2022_07,보안 강화 프로젝트,PL,요구사항 변경를 신속하게 해결. 팀의 롤모델.,프로젝트 진행 중 유연한 협업 태도로 팀워크 향상에 기여. 팀 성과에 큰 기여.,2022-04-19,2023-04-14
PM0193,EMP157,PRJ_2022_07,보안 강화 프로젝트,개발자,"기본 작업은 완수했으나, 커뮤니케이션 개선 필요. 역량 강화 계획 수립.",기본적인 협업은 수행하나 주도적 참여 아쉬움. 개선 여지 있음.,2022-04-19,2023-04-14
PM0194,EMP155,PRJ_2022_08,마케팅 자동화,PL,일정대로 업무 완수. 팀과의 협업 양호. 다음 프로젝트에서 리더십 발휘 필요.,프로젝트에 책임감 있게 참여. 안정적인 성과.,2022-08-25,2023-07-21
PM0195,EMP143,PRJ_2022_08,마케팅 자동화,개발자,탁월한 문제 해결 능력으로 프로젝트에 기여. 지속적 성장 예상됨.,프로젝트 진행 중 적극적인 소통로 팀워크 향상에 기여. 팀 성과에 큰 기여.,2022-08-25,2023-07-21
PM0196,EMP009,PRJ_2022_08,마케팅 자동화,개발자,요구사항 이해에서 어려움 노출. 개선 방안 논의 필요.,성실하며 업무를 수행. 맡은 일 잘 처리함.,2022-08-25,2023-07-21
PM0197,EMP072,PRJ_2022_08,마케팅 자동화,QA,전반적으로 만족스러운 기여. 커뮤니케이션 개선 시 더 큰 성과 기대.,협업에 긍정적. 동료로서 만족.,2022-08-25,2023-07-21
PM0198,EMP046,PRJ_2022_08,마케팅 자동화,기획자,"기본 작업은 완수했으나, 커뮤니케이션 개선 필요. 멘토링 지원 필요.",책임감이 강하고 팀원들에게 지식을 공유해줌. 팀의 기둥.,2022-08-25,2023-07-21
PM0199,EMP108,PRJ_2022_08,마케팅 자동화,디자이너,요구사항 변경를 창의적으로 해결. 팀의 롤모델.,협력적이고 업무를 수행. 맡은 일 잘 처리함.,2022-08-25,2023-07-21
PM0200,TL007,PRJ_2022_08,마케팅 자동화,PM,"프로젝트 목표 110% 달성. 예산 대비 효율적으로 완수했으며, 팀원들의 신뢰가 매우 높음.",기술적으로 뛰어나며 후배들을 잘 가르침해줌. 핵심 멤버.,2022-08-25,2023-07-21
PM0201,EMP111,PRJ_2022_09,챗봇 고도화,PL,일정 지연 리스크를 창의적으로 해결. 프로젝트 성공의 핵심 기여자.,책임감 있게 업무를 수행. 커뮤니케이션 원활함.,2022-07-09,2022-11-06
PM0202,EMP167,PRJ_2022_09,챗봇 고도화,개발자,"프로젝트 목표 117% 달성. 품질 기준을 초과하여 완수했으며, 이해관계자 만족도가 매우 높음.",프로젝트 진행 중 빠른 피드백로 팀워크 향상에 기여. 팀 성과에 큰 기여.,2022-07-09,2022-11-06
PM0203,EMP138,PRJ_2022_09,챗봇 고도화,개발자,맡은 역할을 성실히 수행. 주어진 작업 완수. 도전적 목표 설정 권장.,팀 분위기를 밝게 만들고 함께 일하기 좋은 동료. 전문성도 뛰어남.,2022-07-09,2022-11-06
PM0204,EMP090,PRJ_2022_09,챗봇 고도화,QA,일정대로 업무 완수. 책임감 있는 태도. 다음 프로젝트에서 더 큰 역할 기대.,프로젝트에 전문성 발휘. 원활한 협업.,2022-07-09,2022-11-06
PM0205,EMP109,PRJ_2022_09,챗봇 고도화,기획자,전반적으로 만족스러운 기여. 일정 관리 능력 향상 시 더 큰 성과 기대.,항상 동료를 먼저 생각하고 배울 점이 많은 동료. 커뮤니케이션이 탁월함.,2022-07-09,2022-11-06
PM0206,EMP017,PRJ_2022_09,챗봇 고도화,디자이너,맡은 역할을 성실히 수행. 기본 목표 달성. 보다 주도적인 역할 기대.,어려울 때 적극적으로 도와주며 배울 점이 많은 동료. 커뮤니케이션이 탁월함.,2022-07-09,2022-11-06
PM0207,EMP170,PRJ_2022_09,챗봇 고도화,PM,맡은 역할을 성실히 수행. 기본 목표 달성. 도전적 목표 설정 권장.,어려울 때 적극적으로 도와주며 배울 점이 많은 동료. 문제 해결 능력 우수.,2022-07-09,2022-11-06
PM0208,EMP139,PRJ_2022_09,챗봇 고도화,아키텍트,"프로젝트 목표 126% 달성. 일정을 앞당겨 완수했으며, 이해관계자 만족도가 매우 높음.",프로젝트에 성실히 기여. 특별한 이슈 없음.,2022-07-09,2022-11-06
PM0209,EMP062,PRJ_2022_10,HR 챗봇 개발,PL,일정대로 업무 완수. 팀과의 협업 양호. 다음 프로젝트에서 리더십 발휘 필요.,기술적으로 뛰어나며 후배들을 잘 가르침해줌. 핵심 멤버.,2022-06-18,2023-04-14
PM0210,EMP174,PRJ_2022_10,HR 챗봇 개발,개발자,맡은 역할을 성실히 수행. 안정적인 업무 처리. 도전적 목표 설정 권장.,항상 동료를 먼저 생각하고 신뢰할 수 있는 동료. 문제 해결 능력 우수.,2022-06-18,2023-04-14
PM0211,EMP155,PRJ_2022_10,HR 챗봇 개발,개발자,타 팀과의 협업에서 어려움 노출. 개선 방안 논의 필요.,책임감 있게 업무를 수행. 맡은 일 잘 처리함.,2022-06-18,2023-04-14
PM0212,EMP090,PRJ_2022_10,HR 챗봇 개발,QA,"프로젝트 목표 115% 달성. 품질 기준을 초과하여 완수했으며, 팀원들의 신뢰가 매우 높음.",협력적이고 업무를 수행. 커뮤니케이션 원활함.,2022-06-18,2023-04-14
PM0213,EMP110,PRJ_2022_10,HR 챗봇 개발,기획자,기술적 난이도 해결에서 어려움 노출. 개선 방안 논의 필요.,적극적으로 참여. 동료로서 만족.,2022-06-18,2023-04-14
PM0214,EMP190,PRJ_2022_10,HR 챗봇 개발,디자이너,뛰어난 커뮤니케이션으로 프로젝트에 기여. 향후 리더 역할 기대됨.,협업에 긍정적. 함께 일하기 좋음.,2022-06-18,2023-04-14
PM0215,EMP049,PRJ_2022_10,HR 챗봇 개발,PM,큰 이슈 없이 업무 완수. 팀과의 협업 양호. 다음 프로젝트에서 더 큰 역할 기대.,어려울 때 적극적으로 도와주며 함께 일하기 좋은 동료. 커뮤니케이션이 탁월함.,2022-06-18,2023-04-14
PM0216,EMP173,PRJ_2022_10,HR 챗봇 개발,아키텍트,전반적으로 만족스러운 기여. 일정 관리 능력 향상 시 더 큰 성과 기대.,항상 동료를 먼저 생각하고 함께 일하기 좋은 동료. 문제 해결 능력 우수.,2022-06-18,2023-04-14
PM0217,EMP121,PRJ_2022_10,HR 챗봇 개발,PL,전반적으로 만족스러운 기여. 커뮤니케이션 개선 시 더 큰 성과 기대.,열정적으로 일하며 어려운 문제도 함께 고민해줌. 핵심 멤버.,2022-06-18,2023-04-14
PM0218,EMP182,PRJ_2023_01,모바일 앱 리뉴얼,PL,탁월한 문제 해결 능력으로 프로젝트에 기여. 지속적 성장 예상됨.,열정적으로 일하며 어려운 문제도 함께 고민해줌. 팀의 기둥.,2023-08-14,2023-11-12
PM0219,EMP011,PRJ_2023_01,모바일 앱 리뉴얼,개발자,요구사항에 맞춰 업무 완수. 책임감 있는 태도. 다음 프로젝트에서 리더십 발휘 필요.,프로젝트에 성실히 기여. 특별한 이슈 없음.,2023-08-14,2023-11-12
PM0220,EMP000,PRJ_2023_01,모바일 앱 리뉴얼,개발자,복잡한 기술 이슈를 체계적으로 해결. 기술 리더 역할 수행.,책임감이 강하고 후배들을 잘 가르침해줌. 핵심 멤버.,2023-08-14,2023-11-12
PM0221,EMP105,PRJ_2023_01,모바일 앱 리뉴얼,QA,뛰어난 커뮤니케이션으로 프로젝트에 기여. 지속적 성장 예상됨.,책임감 있게 업무를 수행. 커뮤니케이션 원활함.,2023-08-14,2023-11-12
PM0222,EMP059,PRJ_2023_02,마케팅 자동화,PL,전반적으로 만족스러운 기여. 커뮤니케이션 개선 시 더 큰 성과 기대.,열정적으로 일하며 후배들을 잘 가르침해줌. 없어서는 안 될 동료.,2023-01-18,2023-08-16
